ds,yhat,yhat_lower,yhat_upper
2020-04-22,1733.5424017730932,1665.3790568548388,1798.5513614240358
2020-04-23,1735.7043473813387,1673.2960685897638,1801.4907534244762
2020-04-24,1734.8737038337306,1669.252785008362,1794.1335147685331
2020-04-27,1727.1190620865332,1665.825315372065,1788.5814675083648
2020-04-28,1727.9829149412442,1659.8450435557552,1794.0273273257785
2020-04-29,1728.8181234566332,1664.9352347344484,1790.2919606382782
2020-04-30,1730.1771102718092,1664.8961849126908,1794.8497077289207
2020-05-01,1728.48910063418,1661.6163612223882,1795.6247580054078
2020-05-04,1722.1904111195104,1662.8634439406974,1780.5897917637235
2020-05-05,1726.1187934474592,1661.0121372530361,1786.4807139016784
2020-05-06,1725.1748046374646,1663.9182861907277,1789.1831300452266
2020-05-07,1724.4127535506768,1661.858576289684,1789.524087529966
2020-05-08,1723.7394529132332,1662.2203958364707,1787.2247018181956
2020-05-11,1720.272908549727,1660.602537520509,1779.9260572515377
2020-05-12,1723.990301319672,1653.0835658447413,1781.0884727605528
2020-05-13,1724.574934493241,1660.7825983741839,1787.3514354567592
2020-05-14,1728.750050910045,1668.2146318159746,1791.853500169964
2020-05-15,1731.6604777964903,1669.2579807127124,1795.887694154519
2020-05-18,1738.9857362946473,1673.6253953624937,1796.9316101725374
2020-05-19,1744.7338346564597,1678.7273637604083,1804.1475189035425
2020-05-20,1748.7436385194774,1689.362523830854,1815.3633691325526
2020-05-21,1752.2844456902344,1686.0829518372734,1817.4370614343306
2020-05-22,1753.886619375267,1691.1358486202587,1819.2882365161338
2020-05-26,1764.7928733065814,1704.962713684725,1828.0073369317784
2020-05-27,1766.4065822892824,1707.8910390274145,1833.7443501363625
2020-05-28,1769.3152593800576,1704.933741840028,1832.5498574166763
2020-05-29,1771.4084026096757,1705.2017491337785,1830.8559080018845
2020-06-01,1772.794799687222,1704.5754201939224,1834.2266116350438
2020-06-02,1776.952750816224,1709.2972106473576,1843.577723415442
2020-06-03,1778.3673990109905,1715.209492872671,1845.628518197479
2020-06-04,1779.2635820094042,1718.819656623638,1844.1889418018188
2020-06-05,1780.1165082179084,1720.538029091504,1842.9655687519396
2020-06-08,1776.6728077572234,1716.3061767950371,1843.6022245498375
2020-06-09,1779.3194598924465,1716.8970804718701,1846.8021568634495
2020-06-10,1779.8787147054811,1714.4667301540283,1840.1112239294293
2020-06-11,1777.7564107523717,1718.0125455380523,1841.2294970922014
2020-06-12,1776.5002706790015,1711.855391294573,1835.423295913108
2020-06-15,1773.4641648669897,1709.699088722185,1834.4715016321854
2020-06-16,1776.4157089165715,1716.355628354281,1845.3380325130206
2020-06-17,1776.3975305918452,1710.8339786052068,1843.8482846445881
2020-06-18,1777.2277884347109,1710.9209508533575,1838.2767568804916
2020-06-19,1777.0096157803275,1713.2489528856113,1840.6984924451774
2020-06-22,1775.7220645172758,1712.9719383470142,1835.7581100534585
2020-06-23,1778.5890161231634,1713.385302844356,1841.749779373761
2020-06-24,1778.1696906204882,1719.3621845662972,1846.009899353509
2020-06-25,1779.80201406557,1717.2243738642417,1842.186967265553
2020-06-26,1779.7986674434107,1717.5313340770692,1841.687867040559
2020-06-29,1781.8556344450037,1719.8603101148121,1847.0688111070403
2020-06-30,1785.5327314201998,1722.745167654434,1853.0112115683305
2020-07-01,1788.0348794580052,1722.4754161829715,1848.3511081410318
